Year,Gas (TWh),Oild (TWh),Coal (TWh)
1800,0,0,97
1810,0,0,128
1820,0,0,153
1830,0,0,264
1840,0,0,356
1850,0,0,569
1860,0,0,1061
1870,0,6,1642
1880,0,33,2542
1890,33,89,3856
1900,64,181,5728
1910,142,397,8656
1920,233,889,9833
1930,603,1756,10125
1940,875,2653,11586
1950,2092,5444,12603
1960,4472,11097,15442
1965,6303.798828,17989.60352,16140.17871
1966,6868.794434,19341.14648,16324.09375
1967,7374.039551,20732.13672,16060.80957
1968,8044.331543,22488.33203,16301.14648
1969,8833.417969,24353,16798.73633
1970,9614.791992,26505.18359,17058.60742
1971,10293.2002,27994.79688,16965.77734
1972,10861.72363,30112.26367,17158.63672
1973,11377.83789,32534.80664,17667.84961
1974,11659.86523,32078.17969,17682.05078
1975,11659.74121,31715.76953,18024.53711
1976,12354.14355,33752.46484,18688.48438
1977,12759.84277,34928.13672,19241.30078
1978,13293.95215,36509.91797,19457.9043
1979,14118.03223,37064.56641,20363.53906
1980,14236.96094,35514.42188,20857.60938
1981,14395.87402,34251.57031,21149.67969
1982,14469.73535,33185.26953,21385.45117
1983,14703.83301,32937.60547,22046.3457
1984,15902.68066,33680.05469,23001.08008
1985,16262.22168,33660.10156,23987.82813
1986,16421.11133,34700.83594,24258.0332
1987,17281.89648,35393.54297,25212.42578
1988,18088.8457,36552.58984,25967.12891
1989,18867.30859,37156.83594,26215.67578
1990,19481.125,37608.01953,25904.46875
1991,19972.83984,37610.64063,25654.25195
1992,20063.48438,38151.84766,25556.59375
1993,20265.48438,37960.61328,25685.59375
1994,20389.61523,38793.50781,25784.77734
1995,21104.49414,39442.17578,25963.68164
1996,22159.25586,40314.29688,26582.12305
1997,22030.39258,41413.24609,26536.6875
1998,22434,41644.41406,26366.36523
1999,23071.9043,42370.09375,26479.49609
2000,23994.25781,42880.92578,27427.52344
2001,24316.83398,43255.68359,27860.15234
2002,25030.14258,43608.86328,28955.10352
2003,25729.58984,44580.64844,31499.23242
2004,26721.10156,46270.65625,33673.01172
2005,27438.03711,46672.65625,36169.05859
2006,28161.10547,47172.60938,38069.03516
2007,29315.39063,47758.875,40228.41797
2008,30021.31836,47338.6875,40773.58203
2009,29401.19141,46371.56641,40175.35938
2010,31588.86328,47895.07422,41996.38672
2011,32340.17969,48307.65625,44017.29688
2012,33194.03516,49010.70703,44184.375
2013,33729.72266,49520.15625,44842.61719
2014,33944.27344,49832.44141,45161.20703
2015,34768.67578,50796.26172,44054.44141
2016,35560.77344,51760.77734,43504.16406
2017,36529.22266,52515.54297,43751.67578
2018,38356.30078,53250.62109,44315.875
2019,39062.94531,53368.62891,43699.88672
2020,38455.72656,48380.71094,41963.96484
2021,40374.60547,51170.47266,44473.19531
